2.67639,4.63882,9.12019,6.11231,1.65725
1.97290,4.20140,8.44065,5.86229,1.48369
2.12621,2.48734,9.27098,4.57840,1.22592
2.33102,4.86042,8.41230,4.33034,1.40524
1.29652,4.97314,9.03765,3.00356,1.33929
2.82587,5.24620,8.42708,4.99987,1.37397
1.65201,4.84528,8.40062,5.20670,1.33095
3.34215,3.70880,8.54991,-1.47117,1.40874
2.69854,2.82239,8.85730,4.23269,1.38322
2.75320,3.32863,8.75607,1.66371,1.31824
2.49451,3.86679,8.75432,7.12007,1.60486
1.06474,2.84560,8.78437,1.16596,1.30761
2.26693,2.24768,8.26783,3.83396,1.27734
2.33972,4.35547,8.60276,1.25855,1.53543
1.75268,6.37845,8.86100,1.65713,1.52502
2.88383,4.56766,8.78432,0.70864,1.37396
2.56813,4.02402,8.85408,3.13933,1.42909
2.61203,3.28154,8.45503,-1.93118,1.25351
2.42980,4.20696,9.28517,-3.52526,1.34578
3.05229,4.82563,8.46699,3.69986,1.48681
2.80608,3.81472,8.61771,-0.56118,1.38514
2.11404,4.14059,8.45375,0.46608,1.42859
2.31367,2.87129,8.68886,0.30172,1.37730
2.61768,2.73735,7.81361,2.42378,1.29743
2.20046,3.99618,8.83739,3.11223,1.57605
2.14135,5.23612,8.44719,1.01313,1.48260
2.41950,6.14973,7.99811,3.17397,1.27565
2.60890,3.86834,8.56837,4.55926,1.23509
2.11780,5.74827,8.44476,-0.73637,1.24566
2.76072,3.27979,8.40735,-1.88240,1.48189
2.01267,4.01869,8.63526,3.29201,1.34236
3.50609,3.44345,8.77744,1.46167,1.35783
2.29640,4.87658,8.47125,2.36185,1.49847
2.63440,2.59699,9.39011,3.93156,1.34604
1.77291,3.59253,8.48855,-1.56655,1.37444
2.07406,4.73267,8.77985,3.33029,1.28850
2.75099,5.32937,8.74653,-1.10881,1.45848
2.26022,3.00645,8.54883,0.52691,1.27660
3.46096,5.01566,8.52585,5.77155,1.38814
2.62771,3.35608,8.64009,2.79424,1.29071
2.35272,4.41939,8.13527,1.22251,1.40509
2.49822,4.39348,8.40994,0.73142,1.41413
2.09381,4.24319,8.87859,4.32235,1.46823
3.62665,4.22655,8.59477,1.80129,1.34437
1.84476,4.78797,8.82439,2.99237,1.47721
2.89460,4.60658,8.62534,1.64256,1.58576
2.37842,3.32729,8.81962,1.16712,1.40183
2.58824,4.41258,8.28824,2.38885,1.34667
2.55354,4.44788,8.48517,2.23577,1.29210
2.40745,4.02788,8.82661,1.63892,1.41190
2.81968,2.87226,8.86089,0.35130,1.30358
2.38541,3.81424,9.03754,-0.53083,1.44943
2.84722,4.06186,8.87055,1.19705,1.42101
2.36957,3.27598,9.03253,1.25326,1.64614
2.31944,4.59454,8.71864,-0.17795,1.32010
2.77766,3.30690,8.42061,0.71014,1.52526
1.64032,5.00553,8.47710,6.83933,1.35035
2.53327,4.81535,8.71109,1.67992,1.46625
2.50545,4.37901,8.71696,0.00793,1.47348
2.93241,3.27467,8.81455,1.83801,1.36401
2.75752,2.20402,8.45059,2.87949,1.24907
2.86188,3.61277,8.48822,1.50539,1.35635
3.17086,4.02321,8.95574,-1.42926,1.53869
1.88894,4.45546,8.22083,5.86941,1.34467
2.45633,3.49125,8.72557,0.36808,1.38586
2.79210,4.70385,8.45298,2.32659,1.41611
3.26114,3.21501,8.63451,3.55912,1.35015
2.22812,4.99967,8.05028,2.17379,1.32954
1.92030,2.92514,8.68679,2.84023,1.26088
2.26924,3.26734,8.61044,1.16415,1.41651
2.48898,5.22581,8.33365,2.00040,1.42872
2.20519,2.23284,8.70106,2.36927,1.46290
3.71229,3.10082,8.74388,3.29264,1.32304
2.05133,4.72204,8.66541,1.24669,1.39282
2.56458,4.09430,8.85819,-0.69045,1.31567
2.31498,4.34772,7.98631,7.37735,1.31556
2.73626,2.26067,8.24989,2.69718,1.62768
2.96081,2.42753,8.39822,3.48315,1.36036
2.76461,3.58715,8.58280,2.33744,1.19295
2.93559,3.00937,8.76976,1.62414,1.40716
1.91224,5.68225,8.93360,1.19003,1.42182
2.53155,3.17818,8.55081,3.09413,1.36885
3.29877,3.19686,8.40770,0.55519,1.36663
2.10827,4.63324,8.54621,4.80374,1.53463
2.56445,4.41454,8.41762,0.07020,1.51894
2.27021,4.12943,8.91788,3.39328,1.42318
2.40767,3.78919,8.54299,0.86142,1.52118
2.57143,4.01960,8.25357,5.96549,1.30251
2.28361,2.58705,8.83015,0.86511,1.37646
2.32578,2.80133,8.80310,3.94567,1.37360
2.09785,5.13498,8.97475,2.62028,1.41218
3.42334,2.74385,8.60271,3.16534,1.53012
2.58934,5.74054,8.21468,2.04106,1.32849
1.96265,6.10692,7.84229,-0.06469,1.56129
1.64412,4.44622,8.55730,6.59932,1.23271
2.48398,5.21307,8.39579,4.43024,1.41455
2.32882,2.73646,8.91566,3.98839,1.45874
2.33340,2.81907,9.27048,-0.90134,1.41131
1.79444,3.26210,8.47512,0.88064,1.41069
3.13468,3.85002,8.55538,3.98765,1.50716
2.21403,4.27547,8.45578,0.39963,1.31126
3.02137,5.35184,8.37964,0.82729,1.44050
1.96270,4.04096,8.61389,-0.63364,1.41400
2.58495,1.90607,8.58531,5.33314,1.36663
3.25638,3.61934,8.44350,0.58766,1.31831
2.27940,4.43049,8.81428,2.99648,1.35007
2.43836,3.32399,8.89118,1.74058,1.53652
1.77921,2.35103,9.30952,3.03463,1.29598
2.63777,3.50430,8.08444,4.22843,1.36340
2.30200,4.83305,8.92415,1.59437,1.43651
2.22346,4.36161,8.68807,-0.13081,1.61856
2.39102,3.22817,8.16495,2.08526,1.39148
